empty_slots,free_bikes,id,latitude,longitude,name,timestamp,extra.address,extra.last_updated,extra.renting,extra.returning,extra.uid,extra.bike_uids,extra.number,extra.slots
0.0,0,0b612587d1235dc640875b7ef8ad5508,39.187457,-106.819228,Rubey Park,2021-01-20T16:33:52.920000Z,Aspen,1611160237.0,0.0,1.0,400,,,
7.0,6,9101d72f2bedf1217924a691966e96f7,42.29492,-83.71988,Murfin & Hubbard,2019-07-25T12:19:03.556000Z,2375 Hubbardd Rd.,1564057143.0,0.0,0.0,bcycle_arborbike_2832,,,
3.0,9,8723bfa08ec83b133f6a9aeecd075f51,30.27217,-97.75246,9th/Henderson,2021-02-24T17:33:15.199000Z,672 Henderson Street,1614187983.0,1.0,1.0,bcycle_austin_3685,,,
2.0,11,568256d098257d6e8433513638f5257b,30.25495,-97.74755,South Congress @ Bouldin Creek,2021-02-24T17:33:15.200000Z,799 South Congress Avenue,1614187983.0,1.0,1.0,bcycle_austin_4048,,,
4.0,15,127d6968e5b3b59b49005c0694d78815,30.28354,-97.73953,21st/University,2021-02-24T17:33:15.203000Z,2007 University Ave. ,1614187983.0,1.0,1.0,bcycle_austin_3797,,,
3.0,6,94f113ec7d3ea9e95b5b2568e23ec60e,30.27059,-97.74441,8th/Lavaca,2021-02-24T17:33:15.204000Z,750 Lavaca Street,1614187983.0,1.0,1.0,bcycle_austin_4047,,,
5.0,14,96840128a6de03042f986c91dcd38e00,30.26476,-97.74678,2nd/Lavaca @ City Hall,2021-02-24T17:33:15.205000Z,Presented by Graves Dougherty Hearon & Moody,1614187983.0,1.0,1.0,bcycle_austin_2499,,,
5.0,8,05459e5fce1c3a07f7b858e78017c70b,30.29333,-97.74412,28th/Rio Grande,2021-02-24T17:33:15.208000Z,2717 Rio Grande St.,1614187983.0,1.0,1.0,bcycle_austin_3793,,,
4.0,5,71ac94f8934969e97ab7682575088a0a,30.25457,-97.74258,Boardwalk West,2021-02-24T17:33:15.212000Z,300 E. Riverside Dr.,1614187983.0,1.0,1.0,bcycle_austin_3687,,,
7.0,6,3896d628557a0f44d7e606b731d19642,30.27807,-97.77272,Lake Austin Blvd/Deep Eddy,2021-02-24T17:33:15.215000Z,2401 Lake Austin Blvd,1614187983.0,1.0,1.0,bcycle_austin_3790,,,
4.0,9,12697fe2352b41d8ab88f7c3dacecc7e,30.26212,-97.73815,Red River/Cesar Chavez @ The Fairmont,2021-02-24T17:33:15.216000Z,101 Red River St.,1614187983.0,1.0,1.0,bcycle_austin_4060,,,
4.0,11,6c57125ab8aedcb51b9018ab933dead5,30.24472,-97.72336,Lakeshore/Austin Hostel,2021-02-24T17:33:15.217000Z,2200 S Lakeshore Blvd,1614187983.0,1.0,1.0,bcycle_austin_4061,,,
5.0,8,b57924d91ebca5a0f18d634893a4ee8e,30.25839,-97.74592,South Congress/Barton Springs @ The Austin American-Statesman,2021-02-24T17:33:15.220000Z,305 S. Congress Ave.,1614187983.0,1.0,1.0,bcycle_austin_3513,,,
4.0,9,551b0f447c9144747dfb109cb9fd5e5e,30.26406,-97.76385,Sterzing/Barton Springs,2021-02-24T17:33:15.221000Z,1872 Barton Springs Rd,1614187983.0,1.0,1.0,bcycle_austin_3686,,,
9.0,9,49abfbfe3cddcd1574965bef3772db3d,30.2726,-97.74127,11th/Congress @ The Texas Capitol,2021-02-24T17:33:15.228000Z,1090 Congress Ave.,1614187983.0,1.0,1.0,bcycle_austin_2497,,,
6.0,8,4014b2559f742447b48263708c55c3f2,30.26978,-97.74224,8th/Congress,2021-02-24T17:33:15.229000Z,111 E. 8th St.,1614187983.0,1.0,1.0,bcycle_austin_2496,,,
3.0,12,15c906ebd3955b31efa9a1dd4de8f950,30.26634,-97.74378,4th/Congress,2021-02-24T17:33:15.230000Z,120 W. 4th St.,1614187983.0,1.0,1.0,bcycle_austin_2495,,,
6.0,8,6ef1a960b649477ab71cdb7fef6bb963,30.26408,-97.74355,2nd/Congress,2021-02-24T17:33:15.232000Z,151 E. 2nd St,1614187983.0,1.0,1.0,bcycle_austin_2494,,,
4.0,9,c230e79a749fd6ae4f05edc42c23b1b0,30.25941,-97.74971,South 1st/Riverside @ Long Center,2021-02-24T17:33:15.241000Z,Presented by Austin Energy,1614187983.0,1.0,1.0,bcycle_austin_2549,,,
7.0,8,8b6498f887df8da619d3316aec0fa3c5,30.28576,-97.74181,Guadalupe/West Mall @ University Co-op,2021-02-24T17:33:15.243000Z,2242 Guadalupe St.,1614187983.0,1.0,1.0,bcycle_austin_2548,,,
3.0,9,cc0a7bb361f89cb6a3dae1373692d064,30.26217,-97.72743,Plaza Saltillo,2021-02-24T17:33:15.251000Z,1501 E. 5th St.,1614187983.0,1.0,1.0,bcycle_austin_2542,,,
7.0,12,9f3c8feefcebbc7e34c375d71c7dc677,30.27466,-97.77028,Veterans/Atlanta @ MoPac Ped Bridge,2021-02-24T17:33:15.298000Z,2105 Veterans Dr.,1614187983.0,1.0,1.0,bcycle_austin_3377,,,
3.0,10,088582fba6c8c9078926fd933997d73c,30.28395,-97.74198,21st/Guadalupe,2021-02-24T17:33:15.259000Z,2100 Guadalupe St.,1614187983.0,1.0,1.0,bcycle_austin_2547,,,
4.0,9,9fededed3e5312c93bf60118b9955e57,30.26139,-97.77234,Hollow Creek/Barton Hills,2021-02-24T17:33:15.261000Z,1106 Hollow Creek Dr,1614187983.0,1.0,1.0,bcycle_austin_4058,,,
6.0,13,bceb7257aa61b6800c21911112275498,30.26019,-97.73845,Rainey/Davis,2021-02-24T17:33:15.268000Z,698 Davis St.,1614187983.0,1.0,1.0,bcycle_austin_2563,,,
5.0,8,8ec54b5f13b396cea5ad673cc118e232,30.26912,-97.73986,8th/San Jacinto,2021-02-24T17:33:15.248000Z,782 San Jacinto Blvd.,1614187983.0,1.0,1.0,bcycle_austin_2562,,,
6.0,7,0bba987157e12421b112ce5d33a1ec6c,30.27336,-97.73805,12th/San Jacinto @ State Capitol Visitors Garage,2021-02-24T17:33:15.270000Z,1201 San Jacinto Blvd.,1614187983.0,1.0,1.0,bcycle_austin_2561,,,
3.0,10,f359fe234ac788dc631b9019f2905daf,30.28728,-97.74495,23rd/Rio Grande,2021-02-24T17:33:15.272000Z,2308 Rio Grande St. ,1614187983.0,1.0,1.0,bcycle_austin_3841,,,
3.0,12,1130dd8e9a9b8e99a8d8165cca951e48,30.25971,-97.75346,Barton Springs/Bouldin @ Palmer Auditorium,2021-02-24T17:33:15.278000Z,900 Barton Springs Rd.,1614187983.0,1.0,1.0,bcycle_austin_2567,,,
4.0,7,bc2824413e748667b80d555de755153b,30.26735,-97.73933,6th/Trinity,2021-02-24T17:33:15.277000Z,606 Trinity Street,1614187983.0,1.0,1.0,bcycle_austin_2565,,,
5.0,6,7e89fcbae8dd308d3116a478b1540d05,30.26968,-97.73074,East 11th/San Marcos,2021-02-24T17:33:15.280000Z,1001 E. 11th St.,1614187983.0,1.0,1.0,bcycle_austin_2569,,,
4.0,7,93d1a442b2d97abcdcdd82afbbdb0c73,30.26896,-97.72843,East 11th/Victory Grill,2021-02-24T17:33:15.284000Z,1106 E. 11th St.,1614187983.0,1.0,1.0,bcycle_austin_2568,,,
6.0,16,a94957ea77c939525c0f4bcbadeade26,30.2856,-97.7335,23rd/San Jacinto @ DKR Stadium,2021-02-24T17:33:15.285000Z,E. 23rd St.,1614187983.0,1.0,1.0,bcycle_austin_3799,,,
1.0,10,a11fa175c30061ac00dda92d375e2a02,30.26697,-97.74929,3rd/Nueces,2021-02-24T17:33:15.287000Z,311 Nueces St.,1614187983.0,0.0,0.0,bcycle_austin_3621,,,
8.0,9,b371bdca03340ad1f51c3baa7cd93416,30.25579,-97.73982,Rainey/Cummings,2021-02-24T17:33:15.288000Z,1 Rainey St,1614187983.0,1.0,1.0,bcycle_austin_2707,,,
4.0,5,700515d4267c9c6fe393fdc2e391bce9,30.25103,-97.74926,South Congress/James,2021-02-24T17:33:15.289000Z,1300 South Congress Ave,1614187983.0,1.0,1.0,bcycle_austin_2503,,,
7.0,6,2ae380f318f941e6cf49dcb0c23803c2,30.26638,-97.7214,11th/Salina ,2021-02-24T17:33:15.292000Z,1705 E 11th St,1614187983.0,1.0,1.0,bcycle_austin_4055,,,
4.0,9,3d02e4b0771b21412ad431c42d7d55a1,30.27024,-97.73578,10th/Red River,2021-02-24T17:33:15.299000Z,699 East 10th Street,1614187983.0,1.0,1.0,bcycle_austin_4051,,,
4.0,9,dc9b8450a2a8efb4fb12131386b205c9,30.27489,-97.76483,5th/Campbell,2021-02-24T17:33:15.308000Z,1611 W 5th St,1614187983.0,1.0,1.0,bcycle_austin_4050,,,
7.0,12,e35366344d5476f6ac5f801a925e24e7,30.2898,-97.74041,Dean Keeton/Whitis,2021-02-24T17:33:15.310000Z,300 W. Dean Keeton St.,1614187983.0,1.0,1.0,bcycle_austin_3795,,,
6.0,6,53ebc6e10cb92967400ccb2a26fa012f,30.26889,-97.74525,6th/Lavaca,2021-02-24T17:33:15.312000Z,601 Lavaca St.,1614187983.0,1.0,1.0,bcycle_austin_3294,,,
5.0,8,bf06f1ad3826781adee9bd7ea15095be,30.26766,-97.74162,6th/Brazos,2021-02-24T17:33:15.313000Z,584 Brazos St.,1614187983.0,1.0,1.0,bcycle_austin_3390,,,
6.0,3,67eb4c169fa502d28fd8063d4cd97c5e,30.25968,-97.72308,East 4th/Chicon,2021-02-24T17:33:15.322000Z,1819 East 4th St.,1614187983.0,1.0,1.0,bcycle_austin_3292,,,
6.0,4,64d42a031fb236710d1f5cfa81df917d,30.25542,-97.71665,East 2nd/Pedernales,2021-02-24T17:33:15.334000Z,2414 E 2nd St,1614187983.0,1.0,1.0,bcycle_austin_3293,,,
6.0,6,b16dd2648b49547004aac74ec3ce566e,30.29068,-97.74292,26th/Nueces,2021-02-24T17:33:15.348000Z,600 W. 26th,1614187983.0,1.0,1.0,bcycle_austin_3838,,,
5.0,6,056491b86e9e64c788c90bd057344340,30.27193,-97.73854,11th/San Jacinto,2021-02-24T17:33:15.368000Z,310 E. 11th St.,1614187983.0,1.0,1.0,bcycle_austin_3291,,,
5.0,11,27fa3b25cdefc1eb6e3fe56c5b20c7b8,30.262,-97.76118,Barton Springs/Kinney,2021-02-24T17:33:15.374000Z,1530 Barton Springs Road,1614187983.0,1.0,1.0,bcycle_austin_2711,,,
4.0,7,f2fbeb88b68102eaaca01e4f8139d9ff,30.26455,-97.73165,East 6th/Medina,2021-02-24T17:33:15.375000Z,590 Medina St.,1614187983.0,1.0,1.0,bcycle_austin_3660,,,
4.0,8,f8342d4acf0eacf34df029c0dcdc24db,30.2678,-97.75189,3rd/West,2021-02-24T17:33:15.376000Z,652 W. 3rd St,1614187983.0,1.0,1.0,bcycle_austin_2552,,,
6.0,8,36bc6bc746e6c3ed9978359f4c4aa354,30.26446,-97.75665,Riverside/South Lamar,2021-02-24T17:33:15.378000Z,Presented by Austin Parks Foundation,1614187983.0,1.0,1.0,bcycle_austin_2575,,,
6.0,7,f98ab9a8bf32225f48cabc32e756e072,30.2853,-97.7467,22nd/Pearl,2021-02-24T17:33:15.379000Z,900 W. 22nd,1614187983.0,1.0,1.0,bcycle_austin_3792,,,
3.0,7,8d9dcd45a7b7d9843a239c0518264484,30.25222,-97.74881,South Congress/Academy,2021-02-24T17:33:15.380000Z,1199 S. Congress Ave.,1614187983.0,1.0,1.0,bcycle_austin_2570,,,
3.0,10,889e7ef356b0f9c187e604560c022ad5,30.26854,-97.73646,8th/Red River,2021-02-24T17:33:15.381000Z,761 Red River St.,1614187983.0,1.0,1.0,bcycle_austin_2571,,,
7.0,6,d7f0a7b5f4032c860f1ae0e4f6dbfd1b,30.26269,-97.72438,6th/Chalmers ,2021-02-24T17:33:15.395000Z,639 Chalmers Avenue,1614187983.0,1.0,1.0,bcycle_austin_4057,,,
5.0,7,0bea9a6085cdb4791f3d11ac32bec4c3,30.26426,-97.74023,3rd/Trinity @ The Convention Center,2021-02-24T17:33:15.398000Z,212 Trinity,1614187983.0,1.0,1.0,bcycle_austin_2539,,,
5.0,13,243cf36fed0c55e08aea3bb5f4aebfd5,30.24258,-97.71726,Lakeshore/Pleasant Valley,2021-02-24T17:33:15.400000Z,2525 South Lakeshore Boulevard,1614187983.0,1.0,1.0,bcycle_austin_4062,,,
4.0,7,eda72ab2c97be9226392198a44fdd92d,30.26822,-97.74285,6th/Congress,2021-02-24T17:33:15.403000Z,600 Congress Ave.,1614187983.0,1.0,1.0,bcycle_austin_3619,,,
4.0,9,fd505b8cf6ed85ef5d91f4a647c4ccc0,30.26032,-97.71899,East 6th/Robert T. Martinez,2021-02-24T17:33:15.405000Z,2120 East 6th St,1614187983.0,1.0,1.0,bcycle_austin_2822,,,
5.0,8,fe9c5e51f706fdd8981ed72ebf05eab4,30.2563,-97.71007,East 5th/Broadway @ Capital Metro HQ,2021-02-24T17:33:15.406000Z,2910 E 5th St,1614187983.0,1.0,1.0,bcycle_austin_2823,,,
3.0,10,3c8c0510f41de2f9d61a1d3ed5993790,30.27041,-97.75046,6th/West,2021-02-24T17:33:15.412000Z,603 West Ave.,1614187983.0,1.0,1.0,bcycle_austin_2537,,,
5.0,6,db5bc4f289060d8308b065e0a583c0b6,30.25895,-97.71475,East 6th/Pedernales,2021-02-24T17:33:15.257000Z,2498 E. 6th St.,1614187983.0,1.0,1.0,bcycle_austin_2544,,,
5.0,8,8c8d0165291611b45159d72776264731,30.24891,-97.75019,South Congress/Elizabeth,2021-02-24T17:33:15.269000Z,101 Elizabeth St. W,1614187983.0,0.0,0.0,bcycle_austin_2504,,,
3.0,14,84d65c63f179f3dacf87104409dbfd36,30.2659,-97.76822,Zilker Park,2021-02-24T17:33:15.244000Z,Barton Springs & William Barton Drive,1614187983.0,1.0,1.0,bcycle_austin_2574,,,
4.0,9,f5d3f402f4ec58fd6c71983b3640751f,30.26452,-97.7712,Barton Springs Pool,2021-02-24T17:33:15.393000Z,2200 William Barton Dr.,1614187983.0,1.0,1.0,bcycle_austin_2572,,,
6.0,7,704b1f46a8a887765bdd612cc57097bd,30.29439,-97.78375,Lake Austin/Enfield,2021-02-24T17:33:15.214000Z,3825 Lake Austin Blvd,1614187983.0,1.0,1.0,bcycle_austin_3791,,,
6.0,5,8350d3dcc99116182ad821b895af5142,30.26888,-97.72431,Rosewood/Angelina,2021-02-24T17:33:15.311000Z,1153 Angelina Street,1614187983.0,1.0,1.0,bcycle_austin_4052,,,
6.0,7,23690d75a92c7def3a6d50366b428401,30.26969,-97.71873,Rosewood/Chicon,2021-02-24T17:33:15.297000Z,1909 Rosewood Avenue,1614187983.0,1.0,1.0,bcycle_austin_4054,,,
6.0,11,d8c4a09f0da4663768d51c138a205b91,30.26724,-97.74708,4th/Guadalupe @ Republic Square,2021-02-24T17:33:15.201000Z,401 W. 5th St.,1614187983.0,1.0,1.0,bcycle_austin_3455,,,
4.0,12,4ff27740abf3236d6937a64a7fce59ec,30.26438,-97.73657,4th/Sabine,2021-02-24T17:33:15.401000Z,702 E 4th St.,1614187983.0,1.0,1.0,bcycle_austin_3794,,,
5.0,12,68f152a5c3e6e60cea8b8e1430e28906,30.2896,-97.7366,Dean Keeton/Speedway,2021-02-24T17:33:15.206000Z,200 E Dean Keeton St,1614187983.0,1.0,1.0,bcycle_austin_2498,,,
7.0,6,42554346d732ef5418cfa08bec45a1e6,30.25197,-97.73446,Nash Hernandez/East @ RBJ South,2021-02-24T17:33:15.250000Z,1400 Nash Hernandez Senior Rd,1614187983.0,1.0,1.0,bcycle_austin_4059,,,
5.0,9,10671dfd7f66bf800de1c54e65948b67,30.2692,-97.7535,5th/Bowie,2021-02-24T17:33:15.273000Z,Presented by Whole Foods Market,1614187983.0,1.0,1.0,bcycle_austin_2501,,,
6.0,13,41ea2df01f74d0512e19682214e39dbd,30.26714,-97.75485,Electric Drive/Sandra Muraida Way @ Pfluger Ped Bridge,2021-02-24T17:33:15.276000Z,Presented by Austin Parks Foundation,1614187983.0,1.0,1.0,bcycle_austin_2566,,,
10.0,12,e33fd2a83c4b91c5b9d1fdf05ed1ca60,30.28298,-97.73739,21st/Speedway @ PCL,2021-02-24T17:33:15.290000Z,E. 21st St.,1614187983.0,1.0,1.0,bcycle_austin_3798,,,
3.0,8,4cddd031571f32ffc4ae49d78076dc9c,30.26332,-97.74508,Cesar Chavez/Congress,2021-02-24T17:33:15.394000Z,124 W Cesar Chavez St,1614187983.0,1.0,1.0,bcycle_austin_3684,,,
6.0,4,37f6489cfb4ee3ffda99e30e2c84e08c,30.25212,-97.69807,East 5th/Shady @ Eastside Bus Plaza,2021-02-24T17:33:15.191000Z,5104 East 5th. Street,1614187983.0,1.0,1.0,bcycle_austin_4699,,,
4.0,8,787c9fda0e5bad8941a922aed95527a9,30.27924,-97.74371,16th/San Antonio,2021-02-24T17:33:15.402000Z,1601 San Antonio Street,1614187983.0,1.0,1.0,bcycle_austin_4879,,,
9.0,10,e65bdef1bff9341419d09d91e745d23b,35.036904,-85.307269,Market St & E 14th St,2021-02-24T17:34:01.228000Z,Market St & E 14th St,1614187836.0,1.0,1.0,1305,,,
10.0,9,78cb424f97aceeb60c819813a5ad30fa,35.052701,-85.309483,Market & E 4th Street,2021-02-24T17:34:01.230000Z,Market and E 4th,1614187819.0,1.0,1.0,1307,,,
9.0,6,76111f8db619ea7a558ef6077dc0218a,35.063304,-85.315211,301 Manufacturers Rd,2021-02-24T17:34:01.233000Z,301 Manufacturers Rd,1614187796.0,1.0,1.0,1301,,,
15.0,4,b7f7bfa2923f6fd1f77a8213389da897,35.053928,-85.310925,215 Broad St,2021-02-24T17:34:01.235000Z,215 Broad St,1614187952.0,1.0,1.0,1303,,,
3.0,11,b4c6b3e9bf5b62153bff4e41e352eaed,35.035217,-85.305187,E Main St & Rossville Ave,2021-02-24T17:34:01.236000Z,218 E Main St,1614187865.0,1.0,1.0,1341,,,
9.0,6,f122bb78eb95db5ab5ab79f491628171,35.047319,-85.305834,McCallie Ave & Lindsay St,2021-02-24T17:34:01.237000Z,McCallie Ave & Lindsay St,1614187778.0,1.0,1.0,1329,,,
11.0,4,d84ae9cde74d6579bcd4340b4aad689f,35.042774,-85.309331,Market St & W 12th St,2021-02-24T17:34:01.239000Z,Market St & W 12th St,1614187848.0,1.0,1.0,1309,,,
5.0,10,9e44b9ef875e5c59684eafe912e70720,35.037381,-85.310411,W Main St & Cowart St,2021-02-24T17:34:01.240000Z,343 W Main St,1614187842.0,1.0,1.0,1347,,,
6.0,9,bb4afe89277c6c880d8f66cdba5eada3,35.054161,-85.305448,High St & E 2nd St,2021-02-24T17:34:01.241000Z,High St & E 2nd St,1614188032.0,1.0,1.0,1321,,,
7.0,8,4eb2eb0ce36b31d4bdb6160cfd775a36,35.037433,-85.315093,1826 Carter St,2021-02-24T17:34:01.242000Z,1826 Carter St,1614187985.0,1.0,1.0,1351,,,
12.0,7,306710b848c05c35a2f1b2b7984c37d9,35.044973,-85.307015,ML King Blvd & Lindsay St,2021-02-24T17:34:01.243000Z,M.L. King Blvd & Lindsay St,1614187849.0,1.0,1.0,1327,,,
8.0,7,ab9c52b311cf60ea44511f89b0008a98,35.049271,-85.312617,Pine St. & W. 6th St.,2021-02-24T17:34:01.245000Z,Pine St. & W. 6th St.,1614187971.0,1.0,1.0,1421,,,
9.0,6,617d301d4c9ee5672a2f7d7161b81d81,35.053801,-85.32021,SpringHill Suites,2021-02-24T17:34:01.246000Z,495 Riverfront Pkwy,1614187916.0,1.0,1.0,1420,,,
8.0,11,f306eb8454ae391284c2de2bd5ea4aa0,35.050405,-85.323739,Blue Goose Hollow,2021-02-24T17:34:01.247000Z,Blue Goose Hollow River Park Entrance,1614187900.0,1.0,1.0,1429,,,
7.0,4,2670e092ebda982a2be356280f92940f,35.044895,-85.309299,Miller Park,2021-02-24T17:34:01.248000Z,928 Market Street,1614187808.0,1.0,1.0,1325,,,
8.0,7,3a86c3bbf0fe6d39946c02afd60d617f,35.050771,-85.305346,500 Georgia Ave,2021-02-24T17:34:01.250000Z,500 Georgia Ave,1614187941.0,1.0,1.0,1353,,,
10.0,15,b4ea75dafda88097ed144a684e7275e9,35.096003,-85.254503,Hubert Fry Center Tennessee Riverpark,2021-02-24T17:34:01.251000Z,4310 Amnicola Hwy,1614187835.0,1.0,1.0,1373,,,
8.0,17,7dc6b871a143c00c86514d6451364598,35.06141,-85.306574,200 River St Outdoor Chattanooga,2021-02-24T17:34:01.252000Z,200 River St,1614187932.0,1.0,1.0,1299,,,
6.0,5,466e87a8c418ee8b410be67fed8f73ac,35.0426,-85.2821,Chattanooga Zoo,2021-02-24T17:34:01.253000Z,301 N Holtzclaw Ave,1614187796.0,1.0,1.0,1297,,,
3.0,12,e20bbc2057fbe6dd2e34abfb20cc4493,35.049429,-85.310399,Broad St & W 6th St,2021-02-24T17:34:01.255000Z,Broad St & W 6th St,1614187854.0,1.0,1.0,1317,,,
7.0,8,95ccfc9d1c190d7cdb7949753f64d9d4,35.043367,-85.312762,Carter St & W 12th St,2021-02-24T17:34:01.256000Z,Carter St & W 12th St,1614187954.0,1.0,1.0,1315,,,
6.0,5,b55d5cede29e4caf82a7ecd3c1f53afe,35.05251,-85.310874,Broad St & W 4th St,2021-02-24T17:34:01.257000Z,401 Broad St,1614187979.0,1.0,1.0,1343,,,
11.0,4,4caf14a94366ebb3b270dbac4e61ab61,35.045057,-85.296087,Oak St & Greenway,2021-02-24T17:34:01.261000Z,Oak St & University Greenway,1614187979.0,1.0,1.0,1335,,,
7.0,8,cf78565a7d4c71c1953183c9a95497e2,35.047574,-85.302739,Oak & Houston,2021-02-24T17:34:01.262000Z,Oak & Houston,1614187866.0,1.0,1.0,1337,,,
8.0,7,147752cfbc5839b2fc491200c91d9292,35.0342,-85.302458,400 East Main Street,2021-02-24T17:34:01.263000Z,400 East Main Street,1614187985.0,1.0,1.0,1331,,,
15.0,8,11cd446a4133fe5c762a062487740726,35.055687,-85.307813,100 Walnut St,2021-02-24T17:34:01.265000Z,100 Walnut St,1614188008.0,1.0,1.0,1319,,,
9.0,6,eea39edac468dd1601c0646474b02747,35.043639,-85.297988,800 E 8th St,2021-02-24T17:34:01.267000Z,800 E 8th St,1614187850.0,1.0,1.0,1333,,,
9.0,2,d090cbcb27387392f21d39c55780f9c2,35.066155,-85.309093,North Market,2021-02-24T17:34:01.269000Z,415 N. Market St,1614187861.0,1.0,1.0,1437,,,
13.0,6,fce076c54b2ba1e0680477be4ca3fae4,35.0631455,-85.3095094,Renaissance Park,2021-02-24T17:34:01.271000Z,20 Cherokee Blvd,1614187934.0,1.0,1.0,1435,,,
8.0,11,d8137f9a00b4a9cec42c963bd6846a85,35.019621,-85.324018,Middle St,2021-02-24T17:34:01.272000Z,Middle st,1614188010.0,1.0,1.0,1432,,,
6.0,5,6c0325200f1929615aa4f50091ef9b28,35.047222,-85.313087,Westin Chattanooga,2021-02-24T17:34:01.273000Z,801 Pine Street,1614187859.0,1.0,1.0,1433,,,
9.0,10,4b23a2191137ffce5813551ccd195758,35.065416,-85.274031,Curtain Pole,2021-02-24T17:34:01.275000Z,Curtain Pole River Park Entrance,1614187952.0,1.0,1.0,1430,,,
8.0,7,1bcb78dc6c8c45d5110a2a362ca5ba40,35.043238,-85.301804,MLK and University St,2021-02-24T17:34:01.276000Z,526 E MLK Blvd,1614187927.0,1.0,1.0,1431,,,
10.0,9,8fe2e9fa4fda124a621680808601954d,35.0095361,-85.32854099999997,St Elmo,2021-02-24T17:34:01.277000Z,3917 St Elmo Avenue,1614187818.0,1.0,1.0,1438,,,
10.0,6,8306c441325329f3afb5735a23357efd,35.0341,-85.2799,Tatum Park,2021-02-24T17:34:01.278000Z,1606 Bailey Ave,1614187814.0,1.0,1.0,1439,,,
5.0,10,d0006be1bb555ffb7bbd887bfaaf852e,35.044458,-85.310458,Broad St & W 10th St,2021-02-24T17:34:01.279000Z,Broad St & W 10th St,1614187993.0,1.0,1.0,1363,,,
6.0,9,b96d2baf4969de1c85eba3ed62bcf454,35.040549,-85.309554,1216 Broad St,2021-02-24T17:34:01.281000Z,1216 Broad St,1614187864.0,1.0,1.0,1349,,,
11.0,4,6fbefe75be2a43611ce1d4d1284d68fd,35.048285,-85.300237,Douglas St,2021-02-24T17:34:01.282000Z,Douglas St & Vine St,1614188017.0,1.0,1.0,1369,,,
6.0,13,55d20aa4124f037a701bf99930c97ef4,35.056655,-85.310487,Chestnut St & Riverfront Pkwy,2021-02-24T17:34:01.258000Z,100 Riverfront Parkway,1614187945.0,1.0,1.0,1313,,,
7.0,10,744be9c34649dccd604463c0ff7d787c,35.055582,-85.312797,Power Alley & Riverfront Pkwy,2021-02-24T17:34:01.268000Z,Power Alley & Riverfront Pkwy,1614187894.0,1.0,1.0,1323,,,
9.0,6,1c36cb38122e363ae24c5dc09d10f527,35.047205,-85.310675,Broad St & W 8th St,2021-02-24T17:34:01.266000Z,735 Broad St,1614187772.0,1.0,1.0,1345,,,
3.0,4,9f0fd89b79b0de32c9812b63f2fc6f60,35.040771,-85.308394,Market St & Cowart St,2021-02-24T17:34:01.260000Z,Market St & Cowart St,1614187769.0,1.0,1.0,1311,,,
6.0,0,13e4fef59e9cb0bab13dfead13e0ca00,45.50528481919783,-122.61088460683823,SE 50th at Division - Community Corral,2020-11-02T17:26:37.389000Z,"5008-5022 Southeast Division Street, Portland",1604338084.0,1.0,1.0,hub_4318,,,
6.0,0,2399b74c7c07d3a02e5e2a3e90460b7c,45.51195046105081,-122.6141595840454,SE 47th at Hawthorne - Community Corral,2020-11-02T17:26:37.397000Z,"4638-4698 Southeast Hawthorne Boulevard, Portland",1604338084.0,1.0,1.0,hub_4319,,,
